gene_id,Day16,Day8
MSTRG.1|AT4G19200,253,2109
MSTRG.2|AT4G19210,2147,2815
AT4G19220|AT4G19220,28,3
MSTRG.3|AT4G19230,206,27
AT4G19310.1|AT4G19310.1,0,0
MSTRG.4|AT4G19350,665,396
AT4G19380|AT4G19380,15,96
MSTRG.5|AT4G19390,163,73
AT4G19395|AT4G19395,1,0
MSTRG.6|AT4G19400,0,47
MSTRG.6|AT4G19410,1921,1987
MSTRG.6,525,441
MSTRG.7|AT4G19420,215,87
MSTRG.8|AT4G19430,48,0
MSTRG.9|AT4G19440,39,162
MSTRG.9,206,0
MSTRG.10,149,32
MSTRG.10|AT4G19450,369,566
MSTRG.11|AT4G19460,2,30
MSTRG.12,320,702
MSTRG.12|AT4G19490,904,87
MSTRG.13|AT4G19500,868,423
MSTRG.13,193,0
MSTRG.14|AT4G19510,0,0
MSTRG.14,445,151
MSTRG.16|AT4G19550,30,71
AT4G19530|AT4G19530,34,39
MSTRG.15|AT4G19540,210,72
MSTRG.16,88,5
MSTRG.17|AT4G19560,33,18
MSTRG.18|AT4G19590,0,0
MSTRG.18,107,61
MSTRG.19|AT4G19600,964,599
MSTRG.20|AT4G19610,700,395
MSTRG.21|AT4G19630,11,6
MSTRG.22|AT4G19640,772,664
MSTRG.23|AT4G19645,0,0
MSTRG.24|AT4G19650,0,0
MSTRG.24,131,134
MSTRG.25|AT4G19660,313,174
MSTRG.26,53,273
MSTRG.26|AT4G19670,627,125
AT4G19690|AT4G19690,1,0
MSTRG.27|AT4G19700,382,53
MSTRG.28|AT4G19710,547,98
MSTRG.28,440,803
AT4G19790.1|AT4G19790.1,0,0
AT4G19780.1|AT4G19780.1,1,0
MSTRG.30|AT4G19830,91,65
MSTRG.31|AT4G19840,17,2071
MSTRG.32,0,17
MSTRG.32|AT4G19850,4,1
MSTRG.33|AT4G19860,1296,704
MSTRG.34|AT4G19865,172,158
MSTRG.35|AT4G19870,327,168
MSTRG.36|AT4G19880,399,167
MSTRG.37,438,362
MSTRG.37|AT4G19890,38,7
