"","baseMean","log2FoldChange"
"155",183.926251207932,-8.5269002131775
"133",120.646158348611,-7.92060484615884
"16",87.0810985099298,7.45254764018933
"23",81.5856893806624,7.35905882286949
"50",1231.98137257917,-7.31662341350321
"93",36.6669696941857,-6.2159491617422
"10",27.7959286391408,-5.82252258064162
"14",20.290741400372,5.37786930068194
"59",17.7543987253255,5.19017224406129
"134",17.7420821100899,-5.18919849974464
"101",16.4862273878022,5.08629356287303
"74",13.5271609335813,4.81015113509847
"66",107.131314030265,-4.45115181063437
"51",10.0538465290509,-4.39969700443429
"62",44.2718921809134,-4.29745931403385
"19",18.5875296684387,-3.761112339747
"1",1354.21748847045,-3.53762462604708
"29",40.1567062523636,3.44695453887258
"7",63.1155194399039,-3.06564814685952
"21",433.594334492933,2.88074410118131
"41",183.857307498062,-2.82188054737148
"120",2.95701368501498,-2.78952631469784
"65",184.543137618538,2.58397481317573
"15",112.293470782288,-2.5032788411559
"3",13.6104740278927,2.43946950859382
"4",103.048972409011,2.41096523876522
"44",192.824828705786,2.34671089360469
"45",289.187375434699,1.98698499839127
"63",9.37913069773661,-1.9020321894877
"58",20.2033227676488,1.8358673910941
"42",338.973151667734,1.83510577543294
"80",1.26817133752325,1.82225808005647
"126",1.18280547400599,-1.75086841617659
"143",1.18280547400599,-1.75086841617659
"17",81.9107306810839,1.7085286672759
"86",2631.41112673254,-1.700510507666
"26",54.6713077024452,-1.68857166367026
"64",77.9375377106856,1.67416230306827
"20",550.436330711916,-1.61423847274141
"75",23.0688122815287,-1.4594981430066
"82",0.845447558348833,1.42808615999765
"46",660.894860650149,-1.34996723218849
"99",174.381344764705,1.31915308032027
"71",81.4613209022323,-1.23433751668592
"18",490.719023659055,-1.09914319813336
"81",2941.61117309066,-1.09734295500953
"89",347.991493545416,-1.07145073194674
"25",277.413895020068,1.07060561080451
"28",131.352990690843,1.05115600470496
"85",608.584706474362,1.04900449431991
"52",2.28229785370066,1.00533685398018
"91",100.077589339554,0.966891807475421
"102",7544.35542137231,-0.963637500921103
"67",116.305666367599,0.911587233540827
"9",0.422723779174417,0.883970741438828
"43",0.422723779174417,0.883970741438828
"48",0.422723779174417,0.883970741438828
"84",0.422723779174417,0.883970741438828
"96",106.162348436619,0.878221735192946
"2",2572.38665855091,-0.874877033488474
"68",351.464807949946,-0.84499068503202
"70",246.085121669424,-0.821937674460408
"13",142.33765064176,0.814786701269646
"56",267.431044970093,0.769100122436464
"8",112.076375806649,0.668296504603059
"27",37.437315235047,-0.663970025062957
"69",1313.19205043258,-0.597278423380388
"92",2447.23543480187,-0.557453327574648
"76",122.809043705426,0.553267405878516
"22",617.087598075661,0.551695692643931
"11",1987.16961821901,-0.532885696925556
"39",134.62478183025,-0.513197945848449
"87",621.742867511065,-0.500093187529691
"90",198.454019716381,0.497364562716773
"55",237.586335606538,0.474370721137329
"98",500.049738338982,-0.46885429666144
"79",543.970753662928,0.453971886452341
"53",964.197544660153,0.395577299433389
"30",24.5951339788097,0.374629099181701
"60",39.8049789522649,-0.365516136087644
"72",3.04237954853224,-0.363106263548849
"40",235.216619120114,0.361098343437486
"54",166.150122464473,-0.359753695739192
"35",8.19837799293656,0.347203972971022
"34",529.510726538275,0.340427708109714
"32",81.3070113288453,0.322306257894369
"83",269.595132652981,-0.279242632851559
"36",719.034174892639,-0.266635101711649
"6",515.306797004173,0.262915211471028
"12",482.73859108489,-0.232403365389576
"57",399.240806073479,-0.208959247856429
"33",761.755962588932,0.201785730981152
"100",64.4021657002805,0.180193615376073
"61",40.2297555006453,0.0838056816685268
"97",377.698315489231,-0.0241157879495318
"73",121.786706112425,-0.000993022669495111
"49",76.9090418100666,0.000988325873521546
"5",0,0
"24",0,0
"31",0,0
"37",0,0
"38",0,0
"47",0,0
"77",0,0
"78",0,0
"88",0,0
"94",0,0
"95",0,0
"103",0,0
"104",0,0
"105",0,0
"106",0,0
"107",0,0
"108",0,0
"109",0,0
"110",0,0
"111",0,0
"112",0,0
"113",0,0
"114",0,0
"115",0,0
"116",0,0
"117",0,0
"118",0,0
"119",0,0
"121",0,0
"122",0,0
"123",0,0
"124",0,0
"125",0,0
"127",0,0
"128",0,0
"129",0,0
"130",0,0
"131",0,0
"132",0,0
"135",0,0
"136",0,0
"137",0,0
"138",0,0
"139",0,0
"140",0,0
"141",0,0
"142",0,0
"144",0,0
"145",0,0
"146",0,0
"147",0,0
"148",0,0
"149",0,0
"150",0,0
"151",0,0
"152",0,0
"153",0,0
"154",0,0
"156",0,0
