transcript_id,Day16,Day8
AT4G19200.1,253,2109
AT4G19210.1,2147,2815
AT4G19220.1,28,3
AT4G19230.2,115,27
AT4G19230.1,91,0
AT4G19310.1,0,0
AT4G19350.1,665,396
AT4G19380.1,15,96
AT4G19390.1,163,73
AT4G19395.1,1,0
AT4G19400.1,0,47
AT4G19410.2,0,0
MSTRG.6.1,525,441
AT4G19410.1,1921,1987
AT4G19420.1,193,87
AT4G19420.2,22,0
AT4G19430.1,48,0
AT4G19440.2,0,0
AT4G19440.1,39,162
MSTRG.9.3,206,0
MSTRG.10.1,149,32
AT4G19450.1,369,566
AT4G19460.1,2,30
MSTRG.12.1,320,702
AT4G19490.2,491,87
AT4G19490.1,413,0
AT4G19500.2,0,0
MSTRG.13.1,193,0
AT4G19500.1,868,423
AT4G19510.1,0,0
AT4G19510.2,0,0
MSTRG.14.1,445,151
AT4G19550.2,0,71
AT4G19530.1,34,39
AT4G19540.1,210,72
MSTRG.16.2,88,5
AT4G19550.1,30,0
AT4G19560.1,33,18
AT4G19590.1,0,0
MSTRG.18.1,107,61
AT4G19600.1,964,599
AT4G19610.1,700,395
AT4G19630.1,11,6
AT4G19640.1,772,664
AT4G19645.1,0,0
AT4G19645.2,0,0
AT4G19650.1,0,0
MSTRG.24.2,131,134
AT4G19660.1,313,174
MSTRG.26.2,0,43
MSTRG.26.1,53,230
AT4G19670.2,560,125
AT4G19670.1,67,0
AT4G19690.2,0,0
AT4G19690.1,1,0
AT4G19700.1,382,53
AT4G19710.2,367,0
AT4G19710.1,180,98
MSTRG.28.3,440,803
AT4G19790.1,0,0
AT4G19780.1,1,0
AT4G19830.1,91,65
AT4G19840.1,17,2071
MSTRG.32.1,0,17
AT4G19850.2,0,0
AT4G19850.1,4,1
AT4G19860.1,1296,704
AT4G19865.1,172,158
AT4G19870.2,253,156
AT4G19870.1,74,12
AT4G19880.3,0,0
AT4G19880.1,341,167
AT4G19880.2,58,0
MSTRG.37.1,438,362
AT4G19890.1,38,7
AT4G19900.1,42,0
AT4G19950.1,41,38
AT4G19960.2,0,0
AT4G19960.1,49,33
AT4G19970.1,4,72
AT4G19980.1,4,13
AT4G19990.1,0,0
AT4G19985.1,375,44
MSTRG.42.2,10,174
AT4G19990.2,141,31
MSTRG.43.2,180,68
AT4G20010.2,0,0
AT4G20010.1,297,382
AT4G20020.2,1208,1319
AT4G20020.1,28,18
AT4G20030.1,210,266
AT4G20040.1,57,97
AT4G20050.2,0,0
AT4G20050.1,3,3
AT4G20060.1,144,103
MSTRG.48.2,32,0
AT4G20070.1,14,29
AT4G20090.1,173,84
AT4G20110.2,0,0
AT4G20110.1,0,0
AT4G20115.1,0,0
AT4G20130.1,744,388
AT4G20140.1,3,0
AT4G20150.1,2216,3390
AT4G20160.1,2,0
AT4G20170.1,288,250
AT4G20260.1,0,0
AT4G20260.2,0,0
AT4G20260.3,0,0
AT4G20260.5,0,0
AT4G20260.6,0,0
MSTRG.56.1,971,335
AT4G20260.4,1,0
AT4G20270.1,1464,3403
AT4G20280.1,609,616
AT4G20290.1,0,0
AT4G20300.2,221,361
MSTRG.60.2,132,0
AT4G20300.1,44,38
MSTRG.60.4,143,139
AT4G20310.1,0,0
AT4G20310.2,0,0
AT4G20310.3,157,57
AT4G20320.1,0,0
AT4G20340.1,0,62
AT4G20362.1,0,0
AT4G20365.1,0,0
AT4G20320.2,2342,2464
MSTRG.62.2,163,63
AT4G20325.1,378,313
AT4G20325.2,65,9
AT4G20330.1,496,491
MSTRG.65.1,295,84
AT4G20350.2,80,51
MSTRG.66.2,39,0
AT4G20350.1,1,0
AT4G20360.1,6049,8433
AT4G19239.1,0,0
AT4G19240.1,0,0
AT4G19250.1,0,0
AT4G19260.1,0,0
AT4G19270.1,0,0
AT4G19280.1,0,0
AT4G19290.1,0,0
AT4G19300.1,0,0
AT4G19305.1,0,0
AT4G19320.1,0,0
AT4G19330.1,0,0
AT4G19340.1,0,0
AT4G19360.1,0,0
AT4G19360.2,0,0
AT4G19370.1,0,0
AT4G19452.1,0,0
AT4G19470.1,0,0
AT4G19480.1,0,0
AT4G19520.1,0,5
AT4G19570.1,0,0
AT4G19580.1,0,0
AT4G19620.1,0,0
AT4G19633.1,0,0
AT4G19680.1,0,0
AT4G19680.2,0,0
AT4G19720.1,0,2
AT4G19730.1,0,0
AT4G19740.1,0,0
AT4G19750.1,0,0
AT4G19760.1,0,0
AT4G19770.1,0,0
AT4G19800.1,0,0
AT4G19810.1,0,204
AT4G19820.1,0,30
AT4G19829.1,0,0
AT4G19902.1,0,0
AT4G19905.1,0,0
AT4G19910.1,0,0
AT4G19920.1,0,0
AT4G19925.1,0,0
AT4G19930.1,0,0
AT4G19940.1,0,0
AT4G20000.1,0,2
AT4G20006.1,0,0
AT4G20080.1,0,0
AT4G20095.1,0,0
AT4G20095.2,0,0
AT4G20095.3,0,0
AT4G20100.1,0,0
AT4G20180.1,0,0
AT4G20190.1,0,0
AT4G20200.1,0,0
AT4G20210.1,0,0
AT4G20220.1,0,0
AT4G20230.1,0,0
AT4G20235.1,0,0
AT4G20240.1,0,311
AT4G20250.1,0,0
